horse_id,horse_name,sire,sire_id,sire_sire,sire_dam
2021106436,クリノモルガナイト,アスカクリチャン,2007104599,スターリングローズ,アフリートAfleet(加)
2021106440,アララララ,アドマイヤムーン,2003102991,エンドスウィープEnd Sweep(米),フォーティナイナーForty Niner(米)
2021106443,サンディビーチ,ビーチパトロールBeach Patrol(米),000a0141f9,Lemon Drop Kid,Kingmambo(米)
2021106444,グラスフラッグ,シニスターミニスターSinister Minister(米),000a011099,Old Trieste,A.P. Indy
2021106449,サブマリーナ,スワーヴリチャード,2014106083,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106450,オルパダン,モーニン,2012110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106452,キタノアイヴォリー,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106453,チョウガンバレ,コパノリッキー,2010106548,ゴールドアリュール,サンデーサイレンスSunday Silence(米)
2021106454,ファイアンス,モーニン,2012110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106455,キタノレガーロ,ホッコータルマエ,2009100921,キングカメハメハ,Kingmambo(米)
2021106459,シバノテンテン,エイシンヒカリ,2011101273,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106470,ララクリストフル,アジアエクスプレス,2011110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
