horse_id,horse_name,sire,sire_id,sire_sire,sire_dam
2021106704,ポントワーズ,モンテロッソMonterosso(英),000a011b05,Dubawi,Dubai Millennium(英)
2021106705,コンスピリート,ドゥラメンテ,2012104511,キングカメハメハ,Kingmambo(米)
2021106706,キャピタルサックス,リオンディーズ,2013105915,キングカメハメハ,Kingmambo(米)
2021106707,ヴァズレーヌ,フリオーソ,2004106867,ブライアンズタイムBrian's Time(米),Roberto
2021106709,ジョイレンジャー,モーニン,2012110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106712,アミマネラ,ベストウォーリア,2010110127,マジェスティックウォリアーMajestic Warrior(米),A.P. Indy
2021106715,ポカポカタイム,エイシンフラッシュ,2007102951,キングズベストKing's Best(米),Kingmambo(米)
2021106718,ダイメイコスズ,スピルバーグ,2009105961,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106719,サンデーダイヤ,サトノダイヤモンド,2013106101,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106720,テイエムキャニー,フリオーソ,2004106867,ブライアンズタイムBrian's Time(米),Roberto
2021106721,タイセイタリスマン,タリスマニックTalismanic(英),000a013425,Medaglia d'Oro,El Prado
2021106722,マーゴットファブ,サトノアラジン,2011104063,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106724,チェルシー,サトノアラジン,2011104063,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106728,シセイダイキ,ワールドエース,2009106353,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106729,シームレス,ファインニードル,2013100612,アドマイヤムーン,エンドスウィープEnd Sweep(米)
2021106734,フラーハ,ドレフォンDrefong(米),000a013b82,Gio Ponti(米),Tale of the Cat(米)
2021106736,ユウワンダー,アドマイヤムーン,2003102991,エンドスウィープEnd Sweep(米),フォーティナイナーForty Niner(米)
2021106737,トゥジュール,リアルスティール,2012104889,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106738,ヴィレム,キズナ,2010105827,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106743,グロリアスグレイス,ファインニードル,2013100612,アドマイヤムーン,エンドスウィープEnd Sweep(米)
2021106747,シングンアーメット,ビーチパトロールBeach Patrol(米),000a0141f9,Lemon Drop Kid,Kingmambo(米)
2021106751,サイドキック,アジアエクスプレス,2011110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106752,パレハ,サトノクラウン,2012104668,Marju(愛),ラストタイクーンLast Tycoon(愛)
2021106753,ヴァルタリ,トランセンド,2006104736,ワイルドラッシュWild Rush(米),Wild Again
2021106754,ソニック,ラニ,2013110045,Tapit(米),Pulpit
2021106756,エッカート,キズナ,2010105827,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106757,リネアグローリア,モーニン,2012110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106758,ミグラテール,ラニ,2013110045,Tapit(米),Pulpit
2021106759,サンロレンツォ,シャンハイボビーShanghai Bobby(米),000a0127e4,Harlan's Holiday,Harlan
2021106760,ヒトリゴツ,ベストウォーリア,2010110127,マジェスティックウォリアーMajestic Warrior(米),A.P. Indy
2021106761,テーオーカルドア,シルバーステート,2013105903,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106764,マイネルメダリオン,Catalina Cruiser(米),000a01401e,Union Rags,Dixie Union(米)
2021106765,ラディアントホース,ロージズインメイRoses in May(米),000a010a10,Devil His Due,Devil's Bag
2021106766,マイネルオーシャン,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106767,マイネルアットーレ,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106768,コスモアミマネラ,Study of Man(愛),000a013ee7,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106771,アイムフィアレス,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106772,コスモインシスト,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106773,コスモヴィーコ,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106775,マイネルガンナー,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106777,コスモリダッシュ,マツリダゴッホ,2003104570,サンデーサイレンスSunday Silence(米),Halo
2021106781,コスモラミントン,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106782,コスモブッドレア,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106783,コスモカンタータ,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106784,バウンスライト,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106785,コスモエスメラルダ,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106786,コスモハーディング,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106787,コスモキュランダ,アルアイン,2014106046,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106788,ハッピーイメージ,Good Magic,000a01a8ef,Curlin(米),Smart Strike(加)
2021106789,コスモマチュアー,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106790,レジーナチェリ,サトノクラウン,2012104668,Marju(愛),ラストタイクーンLast Tycoon(愛)
2021106791,コスモブリランテ,ジャングルポケット,1998101786,トニービンTony Bin(愛),カンパラKampala(英)
2021106792,コスモカノア,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106796,コスモロイロ,ロージズインメイRoses in May(米),000a010a10,Devil His Due,Devil's Bag
2021106797,コスモジンバック,Good Magic,000a01a8ef,Curlin(米),Smart Strike(加)
2021106798,ファーストメイト,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
